Date,Type,Description,Status,Amount
"2025-04-17","","Provisional Credit Interest - 04-12-2025","Processed",$0.01
"2025-04-17","","Provisional Credit - 04-12-2025","Processed",$533.52
"2025-04-15","","Spectrum Medical:payroll:H.S.A.","Processed",$712.50
"2025-04-12","","253-SALE (DEBIT)-WALMART.COM 8009256278-BENTONVILLE-AR-Apr 12 202","Processed",-$533.52
"2025-04-10","","253-SALE (DEBIT)-AMAZON RETA* OU6X02593-SEATTLE-WA-Apr 10 202","Processed",-$11.58
"2025-04-10","","253-SALE (DEBIT)-AMAZON MARK* A611C9KR3-SEATTLE-WA-Apr 10 202","Processed",-$74.71
"2025-04-10","","253-SALE (DEBIT)-AMAZON RETA* IR4JI8Y13-SEATTLE-WA-Apr 10 202","Processed",-$7.00
"2025-04-10","","253-SALE (DEBIT)-AMAZON RETA* J08CV9C43-SEATTLE-WA-Apr 10 202","Processed",-$11.58
"2025-04-10","","253-SALE (DEBIT)-AMAZON RETA* OG1WP7TQ3-SEATTLE-WA-Apr 10 202","Processed",-$7.00
"2025-04-09","","253-SALE (DEBIT)-LABCORP8008456167-800-845-6167-NC-Apr  9 202","Processed",-$12.17
"2025-04-01","","253-SALE (DEBIT)-NOVANTHEAL* NOVANT#844-WINSTON SALEM-NC-Apr  1 202","Processed",-$73.36
"2025-03-31","","Interest Payment","Processed",$0.01
"2025-03-29","","253-SALE (DEBIT)-WALGREENS 1120-CHARLOTTE-NC-Mar 29 202","Processed",-$17.15
"2025-03-28","","253-SALE (DEBIT)-WALGREENS 544-CHARLOTTE-NC-Mar 28 202","Processed",-$30.02
"2025-03-22","","253-SALE (DEBIT)-AMAZON RETA* LJ6BL7J73-SEATTLE-WA-Mar 22 202","Processed",-$27.35
"2025-03-22","","253-SALE (DEBIT)-AMAZON MARK* AO1JZ4DE3-SEATTLE-WA-Mar 22 202","Processed",-$72.38
"2025-03-16","","253-SALE (DEBIT)-LABCORP8008456167-800-845-6167-NC-Mar 16 202","Processed",-$649.16
"2025-03-14","","253-SALE (DEBIT)-LABCORP8008456167-800-845-6167-NC-Mar 14 202","Processed",-$649.16
"2025-03-14","","Spectrum Medical:payroll:H.S.A.","Processed",$712.50
"2025-03-13","","253-SALE (DEBIT)-AMAZON MARK* 713433XP3-SEATTLE-WA-Mar 13 202","Processed",-$27.89
"2025-03-13","","253-SALE (DEBIT)-PHR*CAROLINAUROLOGYPA-HUNTERSVILLE-NC-Mar 13 202","Processed",-$100.66
"2025-02-28","","Interest Payment","Processed",$0.01
"2025-02-23","","253-SALE (DEBIT)-AMAZON MARK* WL4UP1JY3-SEATTLE-WA-Feb 23 202","Processed",-$72.38
"2025-02-22","","253-SALE (DEBIT)-NOVANTHEAL* NOVANT#844-WINSTON SALEM-NC-Feb 22 202","Processed",-$109.39
"2025-02-14","","Spectrum Medical:payroll:H.S.A.","Processed",$712.50
"2025-02-13","","253-SALE (DEBIT)-PHR*CAROLINAUROLOGYPA-HUNTERSVILLE-NC-Feb 13 202","Processed",-$100.66
"2025-01-31","","Interest Payment","Processed",$0.02
"2025-01-30","","253-SALE (DEBIT)-PHR*CAROLINAUROLOGYPA-HUNTERSVILLE-NC-Jan 30 202","Processed",-$3.03
"2025-01-28","","253-SALE (DEBIT)-AMAZON MARK* ZG4DJ8IW1-SEATTLE-WA-Jan 28 202","Processed",-$68.63
"2025-01-26","","253-SALE (DEBIT)-AMAZON MARK* ZG8MV1HN1-SEATTLE-WA-Jan 26 202","Processed",-$34.76
"2025-01-24","","253-SALE (DEBIT)-NOVANTHEAL* NOVANT#844-WINSTON SALEM-NC-Jan 24 202","Processed",-$209.57
"2025-01-16","","253-SALE (DEBIT)-WALGREENS #09184-CHARLOTTE-NC-Jan 16 202","Processed",-$5.51
"2025-01-15","","Spectrum Medical:payroll:H.S.A.","Processed",$712.50
"2025-01-13","","253-SALE (DEBIT)-PHR*CAROLINAUROLOGYPA-ROCK HILL-SC-Jan 13 202","Processed",-$100.66
"2025-01-13","","253-SALE (DEBIT)-CAROLINA SURGICAL CTR-803-3274664-SC-Jan 13 202","Processed",-$1598.00
"2025-01-07","","253-SALE (DEBIT)-WALGREENS 1120-CHARLOTTE-NC-Jan  7 202","Processed",-$24.66
"2025-01-06","","253-SALE (DEBIT)-NOVANTHEAL* NOVANT#844-WINSTON SALEM-NC-Jan  6 202","Processed",-$19.20
"2025-01-05","","253-SALE (DEBIT)-AMAZON MARK* ZD2ZC18Y2-SEATTLE-WA-Jan  5 202","Processed",-$40.74
"2025-01-02","","253-SALE (DEBIT)-SP BABYLIST-OAKLAND-CA-Jan  2 202","Processed",-$96.49
"2024-12-31","","Interest Payment","Processed",$0.03
"2024-12-27","","253-SALE (DEBIT)-AMAZON MARK* ZE7RY65R0-SEATTLE-WA-Dec 27 202","Processed",-$68.63
"2024-12-21","","253-SALE (DEBIT)-WALGREENS #09184-CHARLOTTE-NC-Dec 21 202","Processed",-$13.40
"2024-12-20","","253-SALE (DEBIT)-WALGREENS #09184-CHARLOTTE-NC-Dec 20 202","Processed",-$25.73
"2024-12-19","","253-SALE (DEBIT)-NOVANTHEAL* NOVANT#844-WINSTON SALEM-NC-Dec 19 202","Processed",-$1009.22
"2024-12-18","","253-SALE (DEBIT)-AMAZON MARK* Z150535C1-SEATTLE-WA-Dec 18 202","Processed",-$25.10
"2024-12-18","","253-SALE (DEBIT)-WALGREENS 1120-CHARLOTTE-NC-Dec 18 202","Processed",-$10.71
"2024-12-13","","Spectrum Medical:payroll:H.S.A.","Processed",$375.00
"2024-12-12","","253-SALE (DEBIT)-11025 CAROLINA PL PKWY-PINEVILLE-NC-Dec 12 202","Processed",-$10.30
"2024-12-02","","253-SALE (DEBIT)-PHR*CAROLINAUROLOGYPA-HUNTERSVILLE-NC-Dec  2 202","Processed",-$189.46
"2024-12-02","","253-SALE (DEBIT)-LABCORP PSCC 2-800-845-6167-NC-Dec  2 202","Processed",-$708.47
"2024-11-30","","Interest Payment","Processed",$0.03
"2024-11-27","","253-SALE (DEBIT)-AMAZON MARK* Z371P3JK2-SEATTLE-WA-Nov 27 202","Processed",-$177.98
"2024-11-27","","253-SALE (DEBIT)-WALGREENS 1120-CHARLOTTE-NC-Nov 27 202","Processed",-$4.38
"2024-11-18","","253-SALE (DEBIT)-ANY LAB TEST NOW CHARL-CHARLOTTE-NC-Nov 18 202","Processed",-$169.00
"2024-11-15","","253-SALE (DEBIT)-PHR*CAROLINAUROLOGYPA-ROCK HILL-SC-Nov 15 202","Processed",-$189.46
"2024-11-15","","Spectrum Medical:payroll:H.S.A.","Processed",$375.00
"2024-11-13","","Klik 650 Transfer Contribution","Processed",$3084.88
"2024-11-11","","253-SALE (DEBIT)-AMAZON RETA* 2K2BJ81D3-SEATTLE-WA-Nov 11 202","Processed",-$30.66
"2024-11-05","","253-SALE (DEBIT)-LABCORP8008456167-800-845-6167-NC-Nov  5 202","Processed",-$5.59
"2024-10-31","","Interest Payment","Processed",$0.01
"2024-10-30","","253-SALE (DEBIT)-WALGREENS 1120-CHARLOTTE-NC-Oct 30 202","Processed",-$8.92
"2024-10-29","","253-SALE (DEBIT)-WALGREENS 1120-CHARLOTTE-NC-Oct 29 202","Processed",-$18.22
"2024-10-29","","253-SALE (DEBIT)-AMAZON MKTPL*N41SG5ZG3-AMZN.COM/BILL-WA-Oct 29 202","Processed",-$53.08
"2024-10-15","","Spectrum Medical:payroll:H.S.A.","Processed",$1723.62
